field_location_lat,field_location_lng,english_project_name
13.6117233,100.7323332,For Sale and Rent Samut Prakan Town House King Kaeo Bang Phli BRE17905
13.6335741,100.7548851,Thana City Nouvelle Condomini
13.624236443453823,100.61052715273395,Moo Baan Thawithong
13.623482022443401,100.68654282705302,Areeya Como Primo Bangna-Wongwaen
13.636356,100.688301,The Village 2 Bangna km.8
13.714717,100.7251718,Perfect Place Sukhumvit 77-Suvarnabhumi
13.648782590555,100.65704539418,Pruksa Town Nexts Loft
13.628241868220433,100.69427458629711,The Connect 8 Bangna
13.720599,100.724827,Perfect Masterpiece Sukhumvit 77
13.635996,100.668133,Pleno Sukhumvit-Bangna
13.642172247103504,100.6357795608497,Ladawan Srinakarin
13.657562,100.603325,Knightsbridge Collage Sukhumvit 107
13.566195559676661,100.69533947237113,K.C. Natural Ville Bangna-Theparak
13.712130837975819,100.78477609294093,Moobaan Chollada Suvarnabhumi
13.655129,100.607381,Pause ID Sukumvit107
13.752222,100.49389,"3-storey townhouse for rent, Sukhumvit Soi 76, Samut Prakan (owner for rent)"
13.589575,100.696893,Baan Prinyada Teparak
13.647961,100.724168,Baan krissana suvarnabhumi
13.6835591,100.7123901,For Rent Samut Prakan Single House Blue Lagoon Wongwaen-Onnut Kanchanaphisek Bang Phli BRE16323
13.642594,100.686676,Pruksa Ville 76 Bang Na-Wongwan
13.648868,100.656696,Pruksatown Nexts-Bangna km.5
13.6440225,100.66514,For Rent Samut Prakan Town House Vive Bang Na-Trat Road Bang Phli BRE5630
13.589655980999895,100.50023645643341,P.K.Land & House Prachauthit 90
13.69035624020864,100.72829454234471,Nantawan Suvarnabhumi
13.634884,100.591212,Supalai Veranda Sukhumvit 117
13.6302375,100.7743594,Crystal lake - Lakewood
13.635462,100.667152,The City Bangna-KM.7
13.636508501527368,100.59457133842795,Pause condo Sukumvit115
13.5861125,100.5649219,"House for sale, half cement, half timber, newly renovated, ready to move in - area 46 square wa"
13.717888,100.532691,Nara 9 Sathorn-Narathiwas
13.653931680094509,100.62122399468157,Grand Bangkok Boulevard Sukhumvit
13.641636,100.678513,A Space Mega 2
13.60506431508472,100.59642844907376,KNIGHTSBRIDGE SKY RIVER OCEAN
13.6548125,100.6750625,Single House Lakeside Villa 2
13.6335741,100.7548851,** 6 Bedrooms Home Office for RENT ** The Best Kingkaew-Suvarnnabhumi
13.5748422,100.646241,K.C. Park Ville Bangna-Teparak
13.6563125,100.6051875,Fantasia Villa 2 bearing
13.608233070935546,100.8293440406465,Modi Villa Bangna
13.72974811608833,100.58126499503715,HQ Thonglor
13.62749,100.721762,Mantana Bangna Km.13
13.6508125,100.5981875,"House for rent, Samrong Nuea Subdistrict, Mueang District, Samut Prakan Province, near BTS (Bearing)"
13.654387,100.602328,Sense of London
13.6504375,100.6798125,NUE MEGA PLUS
13.569616147657014,100.64503422698192,Natura Sukhumvit – Praksa
13.624664311327384,100.66236258636559,Passorn Pride Srinakharin – Namdang
13.7059375,100.7138125,Prime nature villa
13.688721,100.722143,Golden Neo Bangna-Kingkaew
13.624355,100.629902,Color Living condominium
13.706752927897256,100.72193255625587,Pruksa Ville 92 Onnut-Suvarnabhumi
13.655902,100.599419,B-LOFT Sukhumvit 109
13.656548,100.606707,Kensington Condominium
13.753702,100.564323,Chewathai Residence Asoke
13.593057484949002,100.81477697116466,Orchid Villa Bangna Km.24
13.638354162730378,100.65124851122873,Mantana2 Srinakarin
13.641099328448284,100.67355910152374,Setthasiri Bangna-Wongwaen
13.623552580526855,100.64993997065015,Mantana Srinakarin - Bangna
13.752222,100.49389,The Connect Bearing Station
13.646178127200681,100.67152726811459,Indy 5 Bangna Km.7
13.556755520382,100.69177096855,K.C. Parkville Bangna-Theparak
13.594435299309074,100.65885935500263,Lalin In the park Srinakarin - Teparak
13.613186463156,100.84302075778,jcanal condo
13.649248,100.677296,Baan Magnolias condominium
13.6449375,100.6463125,99/98 Soi Sridan 22
13.6109375,100.7131719,Noble Park
13.600232,100.877588,Chuan Chuen Prime Village Bangna
13.894365,100.521054,Nichada Thani
13.916043471574,100.39901684667,Thip Phimarn Garden
13.870367792379607,100.45210276575764,Grand Bangkok Boulevard Ratchapruek - Rattanathibate
13.876738585484246,100.4136741449299,Plum Condo Central Station Phase 1
13.689859,100.72378,Golden Town Bangna-Kingkaew
13.850391955476281,100.51642467055228,KnightsBridge Duplex Tiwanon
13.862024,100.504931,The Hotel Serviced Condo
13.8169358,100.3441758,Pave Pinklao-Salaya
13.940057,100.547185,Champs Elysees Tiwanon–Chaengwattana
13.87924038199856,100.47154412219491,Perfect Masterpiece Century Rattanathibet
13.859981297693624,100.4394333229208,Casa Grand Ratchapruek - Rama 5
13.905513,100.524914,Astro Chaeng Wattana
13.881519117739684,100.48570633527606,MANOR SANAMBINNAM
13.860809,100.466265,Golden Town Rattanathibet-Saima Station
13.869339196359936,100.4888495758901,The City Rattanathibet – Khaerai
13.839327656033971,100.51575963852542,AMBER BY EASTERN STAR
13.870447743474848,100.47141150921873,Nonnicha Phra Nangklao Bridge
13.842703,100.442753,RIZZO Condo Bangkrang
13.843338174766592,100.37910503453016,Chaiyapruk Pinklao-Kanchanapisek
13.92477,100.535659,Golden Lake View condominium (Geneva Building)
13.841102374047654,100.51296270552257,Centric Tiwanon Station
13.89720733970315,100.55193744047551,THE BASE Chaengwattana
13.928975,100.420002,The Villa Bangbuathong
13.870932623448688,100.42204160057307,Romruen Ville 4
13.899873,100.540041,The Key Chaengwattana
13.8237537,100.436087,House for sale Perfect Place near The Walk Ratchaphruek
13.915267,100.540035,M Society
13.905422835731011,100.54114962131432,Haus 35 Chaengwattana
13.906203990053823,100.45016568329045,Prukpirom Rachapruk-Ratanathibet
13.9077337,100.4958678,Victoria Lakeview Condominium
13.8524375,100.3973125,Perfect Park Rama 5 - Bangyai
13.841809359694762,100.51146896808814,Supalai Vista Tiwanon
13.626288,100.659982,Baan Pruksa 87/2 Srinakarin-Bangna
13.8241875,100.5048125,Piboon Park Ville
13.835069062325893,100.44528179309383,Thanasiri Pinklao-Ratchapruek
13.9308125,100.5390625,The Plant Chaengwattana
13.945414,100.476854,Saransiri Ratchaphruek-Chaengwattana
13.895964549259679,100.55140457153963,Supalai Loft Chaeng Watthana
13.838819,100.515319,The Cuve’e Tiwanon
13.584794,100.721788,"Butsarin Thanasit, Bangpla"
13.9340625,100.5186875,"Townhome (Piam Suk 4), size 40 sq m."
13.877157,100.466281,Perfect Masterpiece Rattanathibet
13.626588,100.663386,Pruksa Ville 66/1 Bangna - Namdaeng
13.89968860192364,100.3431579274106,Chonlada Bangbuathong - Rattanathibet
13.921696,100.538549,The Lake Condominium Muang Thong Thani
13.862866786195445,100.43850069738644,The Centro Rattanathibet
13.906209,100.45014,Prukpirom Regent Rachapruk-Ratanathibet
13.8386875,100.4820156,Living Park Rama5
13.8090747,100.4496924,Baan Benyapha Ratchaphruek
13.9354695,100.383479,Novo Ville Wongwaen-Bangyai
13.6389375,100.6826094,The Color Premium Bangna
13.874313,100.47906,The Politan Breeze Nonthaburi
13.591119,100.513137,Indy Prachauthit 90
13.8883875,100.3904844,Prime Place The Greenery-Bangyai
13.610647331205046,100.63880882882238,Sap Din Thong Namdaeng
13.863366,100.502889,LUMPINI PARK Rattanathibet-Ngamwongwan
13.8199613,100.5058803,Riverrine Place
13.866871,100.489898,Lumpini Condo Town Rattanathibet
13.94001,100.362653,Baan Termrak 5 Baan Kluay-Bangbuathong
13.8148875,100.3394531,(Kanasiri Salaya)
13.882263,100.37064,Prueklada Bangyai 2
13.863773656177194,100.50106899734499,City Home Rattanathibet
14.0230299,100.443259,"Muban Casa Grand Chaiyapruek - Chaengwat Khlong Phra Udom, Pak Kret District, Nonthaburi 11120 tana"
13.844762175830164,100.52758428703305,HALLMARK Ngamwongwan
13.859042,100.519734,U DELIGHT Rattanathibet
13.890081124815,100.39457769919,Chaiyapruk bangyai
13.880962,100.493088,Burasiri Sanambinnam
13.811151,100.351998,Kanasiri Salaya-Pinklao
13.851026,100.532639,The Star condominium
13.8763637,100.4098098,Home Place Village
13.878328938767298,100.44678956616212,Sammakorn S9
13.584157,100.665224,Moo Baan Feung Fah Villa 11 Phase 4
13.941438224120644,100.55155662049813,Pruksa Ville 65 Srisamarn
13.875603,100.413584,Plum Condo Central Station Phase 2
13.9383125,100.4806875,Bangkok Boulevard Chaengwattana2
13.628129,100.691838,The Colors Bangna-Wongwaen
13.8628125,100.4951875,Baan Klang Muang Rattanathibet
13.906099,100.380718,M Venue Westgate
13.852339,100.543776,Lumpini Ville Prachachuen-Phongphet
13.914387,100.451703,Life Bangkok Boulevard Ratchaphruek - Rattanatibet
13.86879696372,100.54426971532,Prachachuen Nonthaburi 8
13.9077337,100.4958678,Perfect Masterpiece chaengwatthana
13.888942621602293,100.43647600859833,Vision Smart Life
13.919304,100.491665,Nantawan Chaengwattana-Ratchapruek
13.844063957078383,100.44861282209013,Bangkok Boulevard Ratchapruek – Rama 5 (2)
13.8945125,100.5514219,Twin Tower Chaengwattana
13.844599,100.529109,iCondo Ngamwongwan
13.8224171,100.412452,Q House Avenue Rachapruk-Rama 5
13.901494,100.444374,Grande Pleno Ratchapruek
13.908868618801126,100.45033871784273,Laddarom Elegance Ratchaphruk-Rattanathibet
13.866968489773614,100.49112497464165,Skyline Rattanathibet
13.927757,100.53294,Riviera Up Condominium Muang Thong Thani
13.8448335,100.3610179,WAM0109
13.9303,100.530489,Golden Neo Chaengwattana-Muangthong
13.8215625,100.4206875,Q.HOUSE AVENUE
13.8464375,100.5141875,Non Tower
13.842622,100.510285,Supalai Park Tiwanon
13.639492,100.853031,Indy Bangna
13.807610192660517,100.43415749186313,Life Bangkok Boulevard Ratchaphruek-Pinklao
13.636612215865702,100.69282350548444,The Connect 6 Wongwean - Bangna KM.10
13.9044375,100.5323125,"Single House at Kanya House, Nonthaburi"
13.874296737943855,100.45593611331287,Ladawan Rattanathibet
13.871997,100.482574,Supalai City Resort Phranangklao Station-Chaophraya
13.855643,100.538721,The Paint Palette Condominium
13.8354375,100.5200625,Flora Wong
13.905082719759,100.54029945397,Haus 35
13.961018030426358,100.36011062443181,Baan Termrak 4
13.8558875,100.4847031,Rompho Condo
15.87,100.9925,The oriental house
13.870756383015845,100.42332264671651,Town Avenue Merge Rattanatibet
13.910562,100.502337,The Forest Chaengwattana
13.648915,100.6133816,Apple Condo
13.5853125,100.6138125,Notting Hill Sukhumvit - Praksa
13.654797253088,100.60253177729,"114 square meters House for rent, Bearing Soi 19 (Owners Post)"
13.694567,100.783726,Baan Pruksa 86/2 Ladkrabang-Suvarnabhumi
13.625249703875628,100.64265735627966,Britania Srinakarin
13.607905186467313,100.67125184813452,Baan Mai Thepharak-Wongwaen
13.642837,100.715885,Golden Village Bangna-Kingkaew
13.698343,100.732138,Q District-Casa City Kingkaew-Suvarnabhumi
13.665954,100.712672,Atoll Java Bay
13.696232,100.716367,Pruksa Puri Kingkaew 37
13.6309375,100.7305625,"Thana City Village,"
13.642174,100.6357801,For Rent Samut Prakan Single House Ladawan Srinakarin Bang Phli BTS Bang Na Bang Phli BRE15737
13.610327,100.525414,Q District Suksawad-Wongwaen Rama 3
13.718551302781638,100.52680480737547,CENTRIC Sathorn-St.Louis
13.642194513984444,100.71737427848981,Golden Village
13.68303783326427,100.70594766472391,The Happiness Condo
13.6335741,100.7548851,Thana city
13.6653625,100.6628594,"Bangna Villa, Bangna-Trad Km 5, Soi Premruthai, just 6 minutes to Mega Bangna, Sri Iam BTS Station"
13.610358467157,100.72020470293,Noble Park Bangplee
13.588740626637577,100.65820714997724,Lally Ville Srinakarin - Teparak
13.584616,100.733333,Passorn Thepharak-Bangna
13.600426008164368,100.50267039021298,Wisatesuknakorn 16-Prachauthit 90
13.650089,100.644296,Baan Klang Muang British Town Srinakarin
13.696090246617626,100.72038074913696,The Connect Suvarnabhumi 2
13.6600986,100.6593186,For Rent Samut Prakan Single House Lakeside Villa 1 Bang Na BTS Bang Na Bang Phli BRE0710
13.742187,100.559938,Noble Recole Sukhumvit 19
13.772086,100.579889,Chapter One Eco Ratchada - Huaikwang
13.522898,100.656863,Baan Sub Nakorn Bang Pu
13.654734,100.606958,The Urban Attitude Bearing 14
